what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1295661334000
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1295661334000
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1295661334000
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1295661334000
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1295661334000
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1295661334000
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1295661334000
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1295661334000
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1295661334000
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1295661334000
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1295661334000
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1295661334000
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1295661334000
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1295661334015
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1295661334015
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1295661334015
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1295661334015
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1295661334015
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1295661334015
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1295661334015
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1295661334015
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1295661334015
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1295661334015
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1295661334015
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1295661334015
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1295661334015
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1295661334015
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1295661334015
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1295661334015
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1295661334015
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1295661334015
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1295661334015
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1295661334015
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1295661334015
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1295661334015
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1295661334015
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1295661334015
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1295661334015
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1295661334015
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1295661334031
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1295661334031
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1295661334031
started,bundle,org.eclipse.cdt.codan.core,1.0.0.201009241320,"org.eclipse.cdt.codan.core",1295661334031
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201009241320,"org.eclipse.cdt.codan.core.cxx",1295661334031
started,bundle,org.eclipse.cdt.codan.ui.cxx,1.0.0.201009241320,"org.eclipse.cdt.codan.ui.cxx",1295661334031
started,bundle,org.eclipse.cdt.core,5.2.1.201009241320,"org.eclipse.cdt.core",1295661334031
started,bundle,org.eclipse.cdt.core.tests,5.2.1.201009241320,"org.eclipse.cdt.core.tests",1295661334031
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009241320,"org.eclipse.cdt.make.core",1295661334031
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009241320,"org.eclipse.cdt.make.ui",1295661334031
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009241320,"org.eclipse.cdt.managedbuilder.core",1295661334031
started,bundle,org.eclipse.cdt.scripting,1.0.0.201009241320,"org.eclipse.cdt.scripting",1295661334031
started,bundle,org.eclipse.cdt.ui,5.2.1.201009241320,"org.eclipse.cdt.ui",1295661334031
started,bundle,org.eclipse.cdt.ui.tests,5.1.0.201009241320,"org.eclipse.cdt.ui.tests",1295661334031
os,sysinfo,,,"win32",1295661334031
arch,sysinfo,,,"x86",1295661334031
ws,sysinfo,,,"win32",1295661334031
locale,sysinfo,,,"en_US",1295661334031
processors,sysinfo,,,"2",1295661334031
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295661334031
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1295661334031
java.specification.name,sysinfo,,,"Java Platform API Specification",1295661334031
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295661334031
java.specification.version,sysinfo,,,"1.6",1295661334031
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295661334031
java.version,sysinfo,,,"1.6.0_22",1295661334031
java.vm.info,sysinfo,,,"mixed mode, sharing",1295661334031
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295661334031
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295661334031
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295661334031
java.vm.specification.version,sysinfo,,,"1.0",1295661334031
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295661334031
java.vm.version,sysinfo,,,"17.1-b03",1295661334031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661337453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661340593
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009241320,"org.eclipse.cdt.managedbuilder.ui",1295661343421
started,bundle,org.eclipse.cdt.managedbuilder.core.tests,7.0.0.201009241320,"org.eclipse.cdt.managedbuilder.core.tests",1295661343578
started,bundle,org.eclipse.cdt.core.lrparser,5.1.0.201009241320,"org.eclipse.cdt.core.lrparser",1295661343718
started,bundle,org.eclipse.cdt.core.lrparser.xlc,1.0.0.201009241320,"org.eclipse.cdt.core.lrparser.xlc",1295661343718
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009241320,"org.eclipse.cdt.managedbuilder.gnu.ui",1295661343734
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201009241320,"org.eclipse.cdt.build.crossgcc",1295661343796
started,bundle,org.eclipse.cdt.managedbuilder.ui.tests,7.0.0.201009241320,"org.eclipse.cdt.managedbuilder.ui.tests",1295661344015
started,bundle,org.eclipse.cdt.managedbuilder.xlc.ui,6.1.0.201009241320,"org.eclipse.cdt.managedbuilder.xlc.ui",1295661344015
started,bundle,org.eclipse.cdt.managedbuilder.xlupc.ui,1.1.0.201009241320,"org.eclipse.cdt.managedbuilder.xlupc.ui",1295661344031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661344046
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1295661351140
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1295661351250
started,bundle,org.eclipse.cdt.make.xlc.core,5.0.0.201009241320,"org.eclipse.cdt.make.xlc.core",1295661351265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661353015
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1295661353453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661358343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661361109
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1295661361218
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1295661361859
opened,editor,org.eclipse.cdt.ui,5.2.1.201009241320,"org.eclipse.cdt.ui.editor.CEditor",1295661361890
activated,editor,org.eclipse.cdt.ui,5.2.1.201009241320,"org.eclipse.cdt.ui.editor.CEditor",1295661362015
started,bundle,org.eclipse.cdt.codan.ui,1.0.0.201009241320,"org.eclipse.cdt.codan.ui",1295661362328
started,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201009241320,"org.eclipse.cdt.codan.checkers",1295661362343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1295661365046
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1295661367328
activated,editor,org.eclipse.cdt.ui,5.2.1.201009241320,"org.eclipse.cdt.ui.editor.CEditor",1295661369875
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201009241320,"org.eclipse.cdt.codan.checkers.ui",1295661391781
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295661394000
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1295661396125
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009241320,"org.eclipse.cdt.debug.core",1295661396437
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009241320,"org.eclipse.cdt.debug.ui",1295661396453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661396468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661396546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661396562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661397781
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1295661397796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661399468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661399500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661399500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661400421
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1295661400437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661403546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661406312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661407046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661461359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661463687
started,bundle,org.eclipse.cdt.launch,6.1.0.201009241320,"org.eclipse.cdt.launch",1295661465875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661469828
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1295661469843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661471000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661477312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661481343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661483000
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1295661483015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661510000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295661511578
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1295661511578
